,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,San Quintin,MX,30.4833,-115.95,77.4,38,0,7.87,clear sky
322,Konstantinovka,RU,49.6167,127.9833,31.1,76,100,10.31,overcast clouds
323,Salym,RU,60.0625,71.4789,33.44,98,100,7.34,light snow
324,Lahij,YE,13.1667,44.5833,76.87,59,100,4.52,overcast clouds
325,Batagay,RU,67.6333,134.6333,-6.54,99,100,0.56,overcast clouds
326,Mahebourg,MU,-20.4081,57.7,79.09,83,40,9.22,scattered clouds
327,Te Anau,NZ,-45.4167,167.7167,48.15,86,100,4.68,overcast clouds
328,Genhe,CN,50.7833,121.5167,31.23,96,100,3.71,snow
329,Kavaratti,IN,10.5669,72.642,83.86,71,87,6.31,overcast clouds
330,Qasigiannguit,GL,68.8193,-51.1922,21.45,88,83,2.33,broken clouds
331,Murmashi,RU,68.8154,32.8115,25.21,80,0,6.71,clear sky
332,Pekan,MY,3.4836,103.3996,75.31,91,100,4.29,overcast clouds
333,Ola,RU,59.5833,151.2833,19.78,93,100,8.01,overcast clouds
334,Saryozek,KZ,44.3583,77.9753,59.43,64,100,7.23,overcast clouds
335,Muncar,ID,-8.4333,114.3333,75.11,92,100,2.68,overcast clouds
336,Mokhsogollokh,RU,61.4681,128.9203,5.63,99,97,2.01,overcast clouds
337,Port Lincoln,AU,-34.7333,135.8667,60.13,87,17,7.38,few clouds
338,Coihueco,CL,-36.6167,-71.8333,78.76,31,0,6.82,clear sky
339,Guerrero Negro,MX,27.9769,-114.0611,83.68,26,0,9.26,clear sky
340,Inirida,CO,3.8653,-67.9239,83.01,84,85,1.83,overcast clouds
341,Aras,ES,42.5617,-2.356,61.21,39,0,9.22,clear sky
342,Mayumba,GA,-3.432,10.6554,78.24,92,84,8.37,broken clouds
343,Tuktoyaktuk,CA,69.4541,-133.0374,15.8,73,75,5.75,broken clouds
